EpochTime,X,Y,Z,ClockBias,HDOP,VDOP,PDOP,GDOP,EastError,NorthError,UpError,NumSats
522122.000000,-1641888.997618,-3664875.148484,4939965.917131,1.875320,0.783019,0.935917,1.220270,1.322209,-0.697276,1.140979,-5.425006,12
522123.000000,-1641889.136864,-3664875.390139,4939965.543327,1.805006,0.783010,0.935889,1.220243,1.322176,-0.725532,0.690263,-5.541508,12
522125.000000,-1641889.281936,-3664874.967624,4939965.766686,2.114322,0.782992,0.935832,1.220188,1.322109,-1.030694,1.084416,-5.572703,12
522126.000000,-1641889.111149,-3664874.981856,4939965.535445,2.186682,0.782983,0.935803,1.220160,1.322075,-0.869018,0.983368,-5.788327,12
522127.000000,-1641889.245426,-3664874.868497,4939966.246426,1.826569,0.782974,0.935774,1.220132,1.322041,-1.037911,1.467810,-5.265673,12
522128.000000,-1641888.985365,-3664874.837125,4939965.781989,1.957132,0.782966,0.935746,1.220104,1.322007,-0.813415,1.281035,-5.711806,12
522130.000000,-1641888.990287,-3664874.770802,4939965.577995,2.185393,0.782948,0.935688,1.220049,1.321940,-0.845028,1.198397,-5.907276,12
522131.000000,-1641888.967149,-3664875.107540,4939966.468485,1.779807,0.782939,0.935659,1.220021,1.321906,-0.686214,1.526133,-5.027350,12
522132.000000,-1641888.855321,-3664874.645607,4939966.167763,2.082725,0.782930,0.935630,1.219993,1.321872,-0.773056,1.700747,-5.554882,12
522133.000000,-1641888.908478,-3664874.675334,4939965.692036,2.282703,0.782921,0.935601,1.219965,1.321838,-0.809409,1.363852,-5.894302,12
522135.000000,-1641889.034141,-3664874.685549,4939966.447118,1.881291,0.782903,0.935543,1.219909,1.321770,-0.919908,1.791005,-5.268702,12
522136.000000,-1641889.153206,-3664874.687635,4939966.294376,1.768438,0.782894,0.935514,1.219881,1.321736,-1.027710,1.655684,-5.355753,12
522137.000000,-1641889.258475,-3664874.734531,4939966.196977,1.887941,0.782885,0.935485,1.219853,1.321702,-1.104599,1.527707,-5.377600,12
522138.000000,-1641889.411288,-3664874.870059,4939966.063411,1.694749,0.782877,0.935456,1.219825,1.321667,-1.188633,1.298953,-5.364555,12
522140.000000,-1641889.480559,-3664875.105990,4939966.528060,1.585987,0.782859,0.935397,1.219769,1.321599,-1.155372,1.401326,-4.849993,12
522141.000000,-1641889.113178,-3664874.969144,4939966.256969,1.607789,0.782850,0.935368,1.219740,1.321565,-0.876069,1.445050,-5.233742,12
522142.000000,-1641889.127232,-3664874.801879,4939966.066630,1.795258,0.782841,0.935339,1.219712,1.321530,-0.957291,1.439753,-5.474115,12
522144.000000,-1641889.472618,-3664874.695260,4939966.325272,1.836916,0.782823,0.935280,1.219656,1.321461,-1.316079,1.568063,-5.245286,12
522145.000000,-1641888.768051,-3664874.670043,4939965.827246,2.271941,0.782814,0.935250,1.219627,1.321427,-0.683422,1.497230,-5.828218,12
522146.000000,-1641888.989126,-3664874.469076,4939965.597960,2.333998,0.782805,0.935221,1.219599,1.321392,-0.967348,1.425531,-6.065028,12
522147.000000,-1641889.127593,-3664874.720886,4939966.148035,1.977947,0.782796,0.935191,1.219570,1.321358,-0.990740,1.548285,-5.457124,12
522149.000000,-1641889.193722,-3664874.793663,4939965.942604,1.922033,0.782778,0.935132,1.219513,1.321288,-1.021328,1.346513,-5.558237,12
522150.000000,-1641889.080007,-3664875.306936,4939966.528386,1.651347,0.782769,0.935102,1.219485,1.321254,-0.707669,1.386293,-4.837434,12
522151.000000,-1641889.080692,-3664875.450001,4939966.391531,1.531075,0.782760,0.935072,1.219456,1.321219,-0.649792,1.198521,-4.861709,12
522152.000000,-1641889.020603,-3664875.437864,4939966.112284,1.667755,0.782751,0.935043,1.219428,1.321184,-0.599920,1.050817,-5.101362,12
522154.000000,-1641889.269525,-3664875.320047,4939966.389653,1.477937,0.782733,0.934983,1.219370,1.321114,-0.875257,1.229532,-4.889165,12
522155.000000,-1641889.619307,-3664875.280343,4939966.528282,1.458796,0.782724,0.934953,1.219342,1.321080,-1.210694,1.233536,-4.714213,12
522156.000000,-1641889.401500,-3664875.486376,4939966.685222,1.238310,0.782715,0.934923,1.219313,1.321045,-0.927678,1.255146,-4.529944,12
522157.000000,-1641889.295388,-3664874.804158,4939966.113278,1.912972,0.782706,0.934893,1.219284,1.321010,-1.109814,1.413945,-5.393316,12
522159.000000,-1641889.297402,-3664875.553945,4939967.038297,1.047553,0.782688,0.934833,1.219226,1.320939,-0.805051,1.462112,-4.243252,12
522160.000000,-1641889.123809,-3664875.391168,4939966.391107,1.257916,0.782679,0.934803,1.219197,1.320904,-0.713197,1.226308,-4.884693,12
522161.000000,-1641889.059849,-3664875.271413,4939966.435765,1.523686,0.782670,0.934773,1.219169,1.320869,-0.703799,1.359737,-4.935039,12
522163.000000,-1641888.801251,-3664875.456003,4939966.207941,1.574662,0.782652,0.934712,1.219111,1.320799,-0.392328,1.167820,-5.072892,12
522164.000000,-1641889.331179,-3664875.436708,4939966.309959,1.368479,0.782643,0.934682,1.219081,1.320763,-0.883815,1.077021,-4.868442,12
522165.000000,-1641889.194286,-3664875.484064,4939966.015329,1.558884,0.782633,0.934652,1.219052,1.320728,-0.739526,0.901847,-5.105685,12
522166.000000,-1641888.815688,-3664875.046434,4939965.954714,1.809423,0.782624,0.934621,1.219023,1.320693,-0.572982,1.294925,-5.501013,12
522168.000000,-1641888.922060,-3664875.345628,4939966.183457,1.552894,0.782606,0.934560,1.218965,1.320622,-0.547710,1.192368,-5.124186,12
522169.000000,-1641889.242606,-3664875.404765,4939965.910205,1.687174,0.782597,0.934530,1.218936,1.320586,-0.816048,0.876732,-5.220523,12
522170.000000,-1641888.841073,-3664875.503154,4939965.859795,1.700503,0.782588,0.934499,1.218906,1.320551,-0.409388,0.902950,-5.306488,12
522171.000000,-1641888.934120,-3664875.149530,4939965.529518,2.149226,0.782579,0.934469,1.218877,1.320515,-0.638903,0.916918,-5.742285,12
522173.000000,-1641889.325301,-3664875.510552,4939966.113292,1.571008,0.782561,0.934407,1.218818,1.320444,-0.848255,0.902905,-4.980625,12
522174.000000,-1641889.025588,-3664875.491222,4939966.242754,1.432455,0.782552,0.934377,1.218789,1.320408,-0.582650,1.093315,-4.967982,12
522175.000000,-1641889.171462,-3664875.443544,4939966.348936,1.310439,0.782542,0.934346,1.218760,1.320372,-0.735267,1.147468,-4.875231,12
522176.000000,-1641889.304849,-3664875.531199,4939966.495007,1.200746,0.782533,0.934315,1.218730,1.320337,-0.821148,1.134567,-4.677064,12
522178.000000,-1641888.422243,-3664875.517490,4939966.419630,1.610773,0.782515,0.934253,1.218671,1.320265,-0.021313,1.377737,-4.970313,12
522179.000000,-1641888.984975,-3664875.409369,4939966.091872,1.864300,0.782506,0.934222,1.218641,1.320229,-0.579059,1.069558,-5.142731,12
522180.000000,-1641889.182393,-3664875.036075,4939965.811191,1.978375,0.782497,0.934191,1.218612,1.320193,-0.911863,1.095446,-5.524406,12
522182.000000,-1641889.350801,-3664875.539649,4939966.592927,1.388569,0.782478,0.934129,1.218552,1.320121,-0.859628,1.175468,-4.584232,12
522183.000000,-1641889.048929,-3664875.261778,4939966.228267,1.713066,0.782469,0.934098,1.218523,1.320085,-0.697774,1.239691,-5.104804,12
522184.000000,-1641889.093815,-3664875.157496,4939966.424655,1.533382,0.782460,0.934067,1.218493,1.320049,-0.781378,1.422831,-5.000268,12
522185.000000,-1641889.453730,-3664875.381071,4939966.874846,1.162297,0.782451,0.934036,1.218463,1.320012,-1.018403,1.432427,-4.429371,12
522187.000000,-1641888.985777,-3664875.582791,4939966.960363,1.223507,0.782432,0.933973,1.218403,1.319940,-0.508875,1.491809,-4.367406,12
522188.000000,-1641889.086187,-3664875.257035,4939966.817155,1.341915,0.782423,0.933942,1.218373,1.319904,-0.733714,1.601177,-4.639791,12
522189.000000,-1641889.027743,-3664875.159956,4939966.577859,1.647884,0.782414,0.933911,1.218343,1.319867,-0.720077,1.538356,-4.896639,12
522190.000000,-1641889.468772,-3664874.928788,4939965.475947,2.057044,0.782405,0.933879,1.218313,1.319831,-1.217076,0.869892,-5.773167,12
522192.000000,-1641888.987933,-3664875.150805,4939965.954577,2.096180,0.782386,0.933816,1.218253,1.319758,-0.687489,1.165938,-5.397031,12
522193.000000,-1641888.658699,-3664874.971326,4939965.701443,2.177660,0.782377,0.933785,1.218223,1.319722,-0.460432,1.239076,-5.781452,12
522194.000000,-1641888.910280,-3664875.327609,4939965.779483,1.923974,0.782368,0.933753,1.218193,1.319685,-0.544327,0.955110,-5.451837,12
522195.000000,-1641888.992644,-3664874.934936,4939965.813456,2.115663,0.782359,0.933722,1.218163,1.319648,-0.780060,1.229044,-5.629377,12
522197.000000,-1641888.639085,-3664874.927669,4939965.565083,2.304617,0.782340,0.933658,1.218103,1.319575,-0.460385,1.190643,-5.917610,12
522198.000000,-1641888.729357,-3664875.105933,4939965.688960,2.045354,0.782331,0.933627,1.218072,1.319538,-0.469870,1.113185,-5.695838,12
522199.000000,-1641888.919998,-3664875.102003,4939965.774226,2.015342,0.782322,0.933595,1.218042,1.319502,-0.645450,1.108894,-5.582777,12
522202.000000,-1641888.761915,-3664875.139546,4939965.526811,2.243824,0.782294,0.933499,1.217951,1.319391,-0.485836,0.977091,-5.794355,12
522203.000000,-1641888.639982,-3664874.700089,4939966.116643,2.228334,0.782284,0.933467,1.217920,1.319354,-0.554264,1.698457,-5.618740,12
522204.000000,-1641888.802060,-3664875.222971,4939965.816615,2.049540,0.782275,0.933435,1.217890,1.319317,-0.488357,1.087159,-5.510742,12
522206.000000,-1641888.971364,-3664875.146230,4939965.838531,2.180847,0.782256,0.933371,1.217829,1.319243,-0.674240,1.101552,-5.494194,12
522207.000000,-1641888.489963,-3664875.125900,4939965.604728,2.179066,0.782247,0.933339,1.217798,1.319206,-0.243240,1.122250,-5.811424,12
522208.000000,-1641888.717395,-3664875.028562,4939965.917831,2.001391,0.782238,0.933307,1.217768,1.319169,-0.490591,1.315713,-5.565207,12
522209.000000,-1641888.987480,-3664875.385820,4939965.971588,1.803243,0.782228,0.933275,1.217737,1.319132,-0.590974,1.009913,-5.249171,12
522211.000000,-1641888.839210,-3664875.073937,4939966.078630,1.968653,0.782210,0.933210,1.217675,1.319057,-0.583201,1.345765,-5.382794,12
522212.000000,-1641888.948262,-3664875.125874,4939966.115808,1.932703,0.782200,0.933178,1.217645,1.319020,-0.661482,1.297554,-5.296077,12
522213.000000,-1641888.847903,-3664875.411606,4939965.534597,2.087362,0.782191,0.933145,1.217614,1.318983,-0.453056,0.761467,-5.610228,12
522214.000000,-1641888.967787,-3664875.342409,4939965.879703,1.764811,0.782182,0.933113,1.217583,1.318945,-0.590755,0.989271,-5.350606,12
522216.000000,-1641888.796887,-3664874.904048,4939965.150031,2.410329,0.782163,0.933048,1.217521,1.318870,-0.614049,0.896452,-6.213526,12
522217.000000,-1641888.851234,-3664875.081271,4939965.260852,2.271387,0.782154,0.933016,1.217490,1.318833,-0.591175,0.822960,-6.011738,12
